title_name,title_url,title_date,title_date_url
"Cuti Bersama Nataru Dihapus, Sultan Yogya Antisipasi Kunjungan Wisatawan",https://news.detik.com/berita-jawa-tengah/d-5784709/cuti-bersama-nataru-dihapus-sultan-yogya-antisipasi-kunjungan-wisatawan,"detikNewsRabu, 27 Okt 2021 13:07 WIB",https://news.detik.com/berita-jawa-tengah/d-5784709/cuti-bersama-nataru-dihapus-sultan-yogya-antisipasi-kunjungan-wisatawan
"Biden Kucurkan Rp 1,4 T untuk Pererat Kemitraan dengan ASEAN",https://news.detik.com/internasional/d-5784700/biden-kucurkan-rp-14-t-untuk-pererat-kemitraan-dengan-asean,"detikNewsRabu, 27 Okt 2021 13:04 WIB",https://news.detik.com/internasional/d-5784700/biden-kucurkan-rp-14-t-untuk-pererat-kemitraan-dengan-asean
PKB Sindir Tajam PCR Rp 300 Ribu: Itu Murah bagi Menteri!,https://news.detik.com/berita/d-5784665/pkb-sindir-tajam-pcr-rp-300-ribu-itu-murah-bagi-menteri,"detikNewsRabu, 27 Okt 2021 12:48 WIB",https://news.detik.com/berita/d-5784665/pkb-sindir-tajam-pcr-rp-300-ribu-itu-murah-bagi-menteri
"Pemerintah Hapus Cuti Bersama Natal-Tahun Baru, Upaya RI Masuk Fase Endemi",https://news.detik.com/berita/d-5784656/pemerintah-hapus-cuti-bersama-natal-tahun-baru-upaya-ri-masuk-fase-endemi,"detikNewsRabu, 27 Okt 2021 12:36 WIB",https://news.detik.com/berita/d-5784656/pemerintah-hapus-cuti-bersama-natal-tahun-baru-upaya-ri-masuk-fase-endemi
"Cuti Nataru Dihapus, Menko PMK: Jangan Beli Tiket Mudik-Bepergian Jauh!",https://news.detik.com/berita-jawa-tengah/d-5784638/cuti-nataru-dihapus-menko-pmk-jangan-beli-tiket-mudik-bepergian-jauh,"detikNewsRabu, 27 Okt 2021 12:25 WIB",https://news.detik.com/berita-jawa-tengah/d-5784638/cuti-nataru-dihapus-menko-pmk-jangan-beli-tiket-mudik-bepergian-jauh
PD ke PDIP: Apa Salah SBY?,https://news.detik.com/berita/d-5784624/pd-ke-pdip-apa-salah-sby,"detikNewsRabu, 27 Okt 2021 12:14 WIB",https://news.detik.com/berita/d-5784624/pd-ke-pdip-apa-salah-sby
Hubungan Manusia dengan Laut Ditampilkan Seniman Indonesia di Festival Seni Australia Selatan,https://news.detik.com/abc-australia/d-5784614/hubungan-manusia-dengan-laut-ditampilkan-seniman-indonesia-di-festival-seni-australia-selatan,"detikNewsRabu, 27 Okt 2021 12:10 WIB",https://news.detik.com/abc-australia/d-5784614/hubungan-manusia-dengan-laut-ditampilkan-seniman-indonesia-di-festival-seni-australia-selatan
"China Ambyar Lagi Gegara COVID-19, Ternyata Ini Biang Keroknya!",https://health.detik.com/berita-detikhealth/d-5784596/china-ambyar-lagi-gegara-covid-19-ternyata-ini-biang-keroknya,"detikHealthRabu, 27 Okt 2021 12:00 WIB",https://health.detik.com/berita-detikhealth/d-5784596/china-ambyar-lagi-gegara-covid-19-ternyata-ini-biang-keroknya
"PM Kanada Umumkan Kabinet Terbaru, Ada Menteri Kesehatan Mental",https://news.detik.com/internasional/d-5784591/pm-kanada-umumkan-kabinet-terbaru-ada-menteri-kesehatan-mental,"detikNewsRabu, 27 Okt 2021 11:54 WIB",https://news.detik.com/internasional/d-5784591/pm-kanada-umumkan-kabinet-terbaru-ada-menteri-kesehatan-mental
Pimpinan DPR Dukung Pemerintah Hapus Cuti Bersama Natal-Tahun Baru,https://news.detik.com/berita/d-5784582/pimpinan-dpr-dukung-pemerintah-hapus-cuti-bersama-natal-tahun-baru,"detikNewsRabu, 27 Okt 2021 11:50 WIB",https://news.detik.com/berita/d-5784582/pimpinan-dpr-dukung-pemerintah-hapus-cuti-bersama-natal-tahun-baru
